CATEGORIE_EVENEMENT|TITRE_EVENEMENT|DEBUT_EVENEMENT|FIN_EVENEMENT|HORAIRE_EVENEMENT|COUT_EVENEMENT|DESCRIPTION_EVENEMENT|RENSEIGNEMENT_EVENEMENT|TEL1_EVENEMENT|TEL2_EVENEMENT|COURRIEL_EVENEMENT|URL_EVENEMENT|NOMLIEU_EVENEMENT|COMPLEMENT_LIEU_EVENEMENT|ADRESSE_EVENEMENT|TEL_LIEU|NOM_ARRONDISSEMENT
Musique|Fete de la Ville de Quebec - Spectacle Les Studebakers|2015-07-03|2015-07-03|Spectacle a 19 h 30 (Il y aura de l'animation pour les enfants avant le spectacle)|0|Dans le cadre de la fete de la ville de Quebec, l'Arrondissement de Beauport vous invite a venir assister a un spectacle magistral des Studebakers.  Venez profiter de cette journee de celebration avec nous (en apportant votre lunch et votre chaise). Avant le spectacle, un maitre de ceremonie fera un bref rappel historique de la fondation de la ville et les elus inviteront les citoyens a porter un toast a Quebec (mout de pommes sans alcool). Ensuite, eclatez-vous au son des plus grands succes musicaux des annees 50 a 80 et revivez l'atmosphere de Grease, de Jeunesse d'aujourd'hui, des Beatles, de la periode Disco, des Beach Boys et beaucoup plus avec Les Studebakers. Ce spectacle interactif, a saveur humoristique, met en vedette 5 musiciens-chanteurs professionnels et dynamiques, accompagnes de danseuses executant des choregraphies hautes en couleur, et ce, avec plus de 75 costumes d'epoque. La Societe d'art et d'histoire de Beauport, qui anime la maison Girardin, s'associe a l'evenement cette annee encore en vous proposant une variet&eacu|4|418-641-6045||cindy.asselin@ville.quebec.qc.ca||Maison Girardin|Agora|600, avenue Royale|418-821-7049|Beauport
Activite familiale|Contes et cultures|2015-07-08|2015-07-08|19 h|0|La Division de la culture, du loisir et de la vie communautaire de l'Arrondissement de Beauport et la Table Immigration Beauport vous invitent a participer a l'activite «Contes et cultures».  Deux contes animes et musicaux seront presentes pour l'occasion.  Vous y decouvrirez un conte quebecois et un conte congolais. Pour conclure l'activite, vous pourrez deguster une petite collation et visiter le kiosque de la Table Immigration Beauport.|4|418-641-6045||cindy.asselin@ville.quebec.qc.ca||Maison Girardin|Agora|600, avenue Royale|418-821-7049|Beauport
Activite multiculturelle|Contes et cultures|2015-07-08|2015-07-08|19 h|0|La Division de la culture, du loisir et de la vie communautaire de l'Arrondissement de Beauport et la Table Immigration Beauport vous invitent a participer a l'activite «Contes et cultures».  Deux contes animes et musicaux seront presentes pour l'occasion.  Vous y decouvrirez un conte quebecois et un conte congolais. Pour conclure l'activite, vous pourrez deguster une petite collation et visiter le kiosque de la Table Immigration Beauport.|4|418-641-6045||cindy.asselin@ville.quebec.qc.ca||Maison Girardin|Agora|600, avenue Royale|418-821-7049|Beauport
Contes|Contes et cultures|2015-07-08|2015-07-08|19 h|0|La Division de la culture, du loisir et de la vie communautaire de l'Arrondissement de Beauport et la Table Immigration Beauport vous invitent a participer a l'activite «Contes et cultures».  Deux contes animes et musicaux seront presentes pour l'occasion.  Vous y decouvrirez un conte quebecois et un conte congolais. Pour conclure l'activite, vous pourrez deguster une petite collation et visiter le kiosque de la Table Immigration Beauport.|4|418-641-6045||cindy.asselin@ville.quebec.qc.ca||Maison Girardin|Agora|600, avenue Royale|418-821-7049|Beauport
Musique|Fin de semaine chantante|2015-06-19|2015-06-21|De 19 h a 22 h|0|Trois soirs de performances faites par des groupes vocaux de l'exterieur et de la grande region de Quebec et ses environs. Sept spectacles seront presentes par six chorales quebecoises.  Venez nous rencontrer en grand nombre! La FIN DE SEMAINE CHANTANTE presentera sa 15e edition et est toujours aussi populaire que depuis sa premiere annee.  Les membres du Groupe vocal Atmosphere se font une joie de vous y accueillir et vous attendent avec impatience!!|3|418-627-9802|418-641-6045|blancou22@gmail.com|http://www.groupevocalatmosphere.org|Maison Girardin|Agora|600, avenue Royale|418-821-7049|Beauport
Activite familiale|Fin de semaine chantante|2015-06-19|2015-06-21|De 19 h a 22 h|0|Trois soirs de performances faites par des groupes vocaux de l'exterieur et de la grande region de Quebec et ses environs. Sept spectacles seront presentes par six chorales quebecoises.  Venez nous rencontrer en grand nombre! La FIN DE SEMAINE CHANTANTE presentera sa 15e edition et est toujours aussi populaire que depuis sa premiere annee.  Les membres du Groupe vocal Atmosphere se font une joie de vous y accueillir et vous attendent avec impatience!!|3|418-627-9802|418-641-6045|blancou22@gmail.com|http://www.groupevocalatmosphere.org|Maison Girardin|Agora|600, avenue Royale|418-821-7049|Beauport
Activite familiale|Fete des etoiles|2015-08-14|2015-08-15|A la brunante|1|Le Club d'astronomie Io de Val-Belair offre des activites liees a l'observation des etoiles filantes : visite de l'observatoire, observation a l'aide de telescopes, etc.|3|418-953-8516||jdclubio@hotmail.ca|http://www.clubdastronomie-io.org/|Base de plein air La Decouverte||1560, rue de la Decouverte|418-641-6473|La Haute-Saint-Charles
Activite petit budget|Fete des etoiles|2015-08-14|2015-08-15|A la brunante|1|Le Club d'astronomie Io de Val-Belair offre des activites liees a l'observation des etoiles filantes : visite de l'observatoire, observation a l'aide de telescopes, etc.|3|418-953-8516||jdclubio@hotmail.ca|http://www.clubdastronomie-io.org/|Base de plein air La Decouverte||1560, rue de la Decouverte|418-641-6473|La Haute-Saint-Charles
Activites estivales|Fete des etoiles|2015-08-14|2015-08-15|A la brunante|1|Le Club d'astronomie Io de Val-Belair offre des activites liees a l'observation des etoiles filantes : visite de l'observatoire, observation a l'aide de telescopes, etc.|3|418-953-8516||jdclubio@hotmail.ca|http://www.clubdastronomie-io.org/|Base de plein air La Decouverte||1560, rue de la Decouverte|418-641-6473|La Haute-Saint-Charles
Animation|Fete des etoiles|2015-08-14|2015-08-15|A la brunante|1|Le Club d'astronomie Io de Val-Belair offre des activites liees a l'observation des etoiles filantes : visite de l'observatoire, observation a l'aide de telescopes, etc.|3|418-953-8516||jdclubio@hotmail.ca|http://www.clubdastronomie-io.org/|Base de plein air La Decouverte||1560, rue de la Decouverte|418-641-6473|La Haute-Saint-Charles
Activite familiale|Dans la serie Messes d'artistes, Emilie Baillargeon, Melanie Charlebois et Nathalie Gagnon|2015-07-12|2015-07-12|11 h 15|0|La messe dominicale sera agrementee par des artistes de la region : chant, violon et orgue.|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Activites estivales|Dans la serie Messes d'artistes, Emilie Baillargeon, Melanie Charlebois et Nathalie Gagnon|2015-07-12|2015-07-12|11 h 15|0|La messe dominicale sera agrementee par des artistes de la region : chant, violon et orgue.|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Musique|Dans la serie Messes d'artistes, Emilie Baillargeon, Melanie Charlebois et Nathalie Gagnon|2015-07-12|2015-07-12|11 h 15|0|La messe dominicale sera agrementee par des artistes de la region : chant, violon et orgue.|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Activite familiale|Dans la serie Messes d'artistes, Chantal Brochu, Annie Dumont et Nathalie Gagnon|2015-07-19|2015-07-19|11 h 15|0|La messe dominicale sera agrementee par des artistes de la region : chant, violon et orgue.|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Activites estivales|Dans la serie Messes d'artistes, Chantal Brochu, Annie Dumont et Nathalie Gagnon|2015-07-19|2015-07-19|11 h 15|0|La messe dominicale sera agrementee par des artistes de la region : chant, violon et orgue.|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Musique|Dans la serie Messes d'artistes, Chantal Brochu, Annie Dumont et Nathalie Gagnon|2015-07-19|2015-07-19|11 h 15|0|La messe dominicale sera agrementee par des artistes de la region : chant, violon et orgue.|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Activite familiale|Dans la serie Messes d'artistes, Sylvie Malenfant, Marc Duguay et Dominique Gagnon|2015-08-09|2015-08-09|11 h 15|0|La messe dominicale sera agrementee par des artistes de la region : duo vocal avec orgue.|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Activites estivales|Dans la serie Messes d'artistes, Sylvie Malenfant, Marc Duguay et Dominique Gagnon|2015-08-09|2015-08-09|11 h 15|0|La messe dominicale sera agrementee par des artistes de la region : duo vocal avec orgue.|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Musique|Dans la serie Messes d'artistes, Sylvie Malenfant, Marc Duguay et Dominique Gagnon|2015-08-09|2015-08-09|11 h 15|0|La messe dominicale sera agrementee par des artistes de la region : duo vocal avec orgue.|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Activite familiale|Dans la serie Messes d'artistes, Camille Leduc-Mathieu, Michel Mathieu et Anne-Marie Leduc|2015-08-16|2015-08-16|11 h 15|0|La messe dominicale sera agrementee par des artistes de la region : chant, bugle et orgue.|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Activites estivales|Dans la serie Messes d'artistes, Camille Leduc-Mathieu, Michel Mathieu et Anne-Marie Leduc|2015-08-16|2015-08-16|11 h 15|0|La messe dominicale sera agrementee par des artistes de la region : chant, bugle et orgue.|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Musique|Dans la serie Messes d'artistes, Camille Leduc-Mathieu, Michel Mathieu et Anne-Marie Leduc|2015-08-16|2015-08-16|11 h 15|0|La messe dominicale sera agrementee par des artistes de la region : chant, bugle et orgue.|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Activite familiale|Dans la serie Messes d'artistes, Marie-Eve Gendron, Cristelle Cotnam et Stephanie Gagnon|2015-07-26|2015-07-26|11 h 15|0|La messe dominicale sera agrementee par des artistes de la region : chant, violon et guitare.|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Activites estivales|Dans la serie Messes d'artistes, Marie-Eve Gendron, Cristelle Cotnam et Stephanie Gagnon|2015-07-26|2015-07-26|11 h 15|0|La messe dominicale sera agrementee par des artistes de la region : chant, violon et guitare.|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Musique|Dans la serie Messes d'artistes, Marie-Eve Gendron, Cristelle Cotnam et Stephanie Gagnon|2015-07-26|2015-07-26|11 h 15|0|La messe dominicale sera agrementee par des artistes de la region : chant, violon et guitare.|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Activite familiale|Dans la serie Messes d'artistes, Richard Roberto et Genevieve Savoie|2015-08-02|2015-08-02|11 h 15|0|La messe dominicale sera agrementee par des artistes de la region : duo de flutes traversieres.|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Activites estivales|Dans la serie Messes d'artistes, Richard Roberto et Genevieve Savoie|2015-08-02|2015-08-02|11 h 15|0|La messe dominicale sera agrementee par des artistes de la region : duo de flutes traversieres.|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Musique|Dans la serie Messes d'artistes, Richard Roberto et Genevieve Savoie|2015-08-02|2015-08-02|11 h 15|0|La messe dominicale sera agrementee par des artistes de la region : duo de flutes traversieres.|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Activite familiale|Dans la serie Messes d'artistes, Richard Fiset et Pierre Rousseau|2015-06-28|2015-06-28|11 h 15|0|La messe dominicale sera agrementee par des artistes de la region, jouant de la trompette et de l'orgue.|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Activites estivales|Dans la serie Messes d'artistes, Richard Fiset et Pierre Rousseau|2015-06-28|2015-06-28|11 h 15|0|La messe dominicale sera agrementee par des artistes de la region, jouant de la trompette et de l'orgue.|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Musique|Dans la serie Messes d'artistes, Richard Fiset et Pierre Rousseau|2015-06-28|2015-06-28|11 h 15|0|La messe dominicale sera agrementee par des artistes de la region, jouant de la trompette et de l'orgue.|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Activite familiale|Dans la serie Messes d'artistes, Catherine-Elisabeth Loiselle, Manon Lefrancois et Marie-Helene Bastien|2015-07-05|2015-07-05|11 h 15|0|La messe dominicale sera agrementee par un duo vocal avec orgue.|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Activites estivales|Dans la serie Messes d'artistes, Catherine-Elisabeth Loiselle, Manon Lefrancois et Marie-Helene Bastien|2015-07-05|2015-07-05|11 h 15|0|La messe dominicale sera agrementee par un duo vocal avec orgue.|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Musique|Dans la serie Messes d'artistes, Catherine-Elisabeth Loiselle, Manon Lefrancois et Marie-Helene Bastien|2015-07-05|2015-07-05|11 h 15|0|La messe dominicale sera agrementee par un duo vocal avec orgue.|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Activite familiale|Dans la serie Messes d'artistes, Les Loriots|2015-06-21|2015-06-21|11 h 15|0|La messe dominicale sera agrementee par le groupe vocal Les Loriots.Bienvenue a tous!|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Activites estivales|Dans la serie Messes d'artistes, Les Loriots|2015-06-21|2015-06-21|11 h 15|0|La messe dominicale sera agrementee par le groupe vocal Les Loriots.Bienvenue a tous!|0|418-653-5643||||Eglise Saint-Felix de Cap-Rouge||1460, rue Provancher||Sainte-Foy-Sillery-Cap-Rouge
Activite familiale|Journee de la nature|2015-05-24|2015-05-24|De 10 h a 15 h|0|Animation lors des randonnees, presence de stands d'information sur l'interpretation de la natureLancement officiel du carnet Auto-interpretation de la nature|-1|418-641-6282||||Base de plein air de Sainte-Foy||3180, rue Laberge|418-641-6282|Sainte-Foy-Sillery-Cap-Rouge
Activite petit budget|Journee de la nature|2015-05-24|2015-05-24|De 10 h a 15 h|0|Animation lors des randonnees, presence de stands d'information sur l'interpretation de la natureLancement officiel du carnet Auto-interpretation de la nature|-1|418-641-6282||||Base de plein air de Sainte-Foy||3180, rue Laberge|418-641-6282|Sainte-Foy-Sillery-Cap-Rouge
Animation|Journee de la nature|2015-05-24|2015-05-24|De 10 h a 15 h|0|Animation lors des randonnees, presence de stands d'information sur l'interpretation de la natureLancement officiel du carnet Auto-interpretation de la nature|-1|418-641-6282||||Base de plein air de Sainte-Foy||3180, rue Laberge|418-641-6282|Sainte-Foy-Sillery-Cap-Rouge
Activite familiale|Peche en herbe|2015-05-24|2015-05-24|De 8 h 30 a 15 h|0|Peche supervisee reservee aux enfants de 9 a 12 ans et a leur famille.Inscription obligatoire|5|418-641-6282||||Base de plein air de Sainte-Foy||3180, rue Laberge|418-641-6282|Sainte-Foy-Sillery-Cap-Rouge
Activite petit budget|Peche en herbe|2015-05-24|2015-05-24|De 8 h 30 a 15 h|0|Peche supervisee reservee aux enfants de 9 a 12 ans et a leur famille.Inscription obligatoire|5|418-641-6282||||Base de plein air de Sainte-Foy||3180, rue Laberge|418-641-6282|Sainte-Foy-Sillery-Cap-Rouge
Activite familiale|Carac'Terre|2015-07-01|2015-07-12|De 9 h a 21 h|0|Carac'Terre est l'un des plus grands marches de ceramique de la province. Une occasion unique de rencontrer les artistes et de decouvrir des productions inedites. Plusieurs activites sont proposees, telles des ateliers pour enfants, des initiations, des demonstrations, etc.Venez decouvrir l'univers de la ceramique!L'evenement est presente par l'Association des ceramistes du Quebec.|0|||caracterre@hotmail.com|http://www.ceramistes.qc.ca/caracterre.html|Place de l'Universite-du-Quebec||Coin rue de la Couronne et boulevard Charest Est||La Cite-Limoilou
Activite petit budget|Carac'Terre|2015-07-01|2015-07-12|De 9 h a 21 h|0|Carac'Terre est l'un des plus grands marches de ceramique de la province. Une occasion unique de rencontrer les artistes et de decouvrir des productions inedites. Plusieurs activites sont proposees, telles des ateliers pour enfants, des initiations, des demonstrations, etc.Venez decouvrir l'univers de la ceramique!L'evenement est presente par l'Association des ceramistes du Quebec.|0|||caracterre@hotmail.com|http://www.ceramistes.qc.ca/caracterre.html|Place de l'Universite-du-Quebec||Coin rue de la Couronne et boulevard Charest Est||La Cite-Limoilou
Atelier artistique|Carac'Terre|2015-07-01|2015-07-12|De 9 h a 21 h|0|Carac'Terre est l'un des plus grands marches de ceramique de la province. Une occasion unique de rencontrer les artistes et de decouvrir des productions inedites. Plusieurs activites sont proposees, telles des ateliers pour enfants, des initiations, des demonstrations, etc.Venez decouvrir l'univers de la ceramique!L'evenement est presente par l'Association des ceramistes du Quebec.|0|||caracterre@hotmail.com|http://www.ceramistes.qc.ca/caracterre.html|Place de l'Universite-du-Quebec||Coin rue de la Couronne et boulevard Charest Est||La Cite-Limoilou
Activite familiale|Attention: peinture fraiche!|2015-08-05|2015-08-05|De 12 h a 17 h|0|Veritable celebration des arts de la rue, Attention : peinture fraiche! est la seule et unique occasion de rencontrer quelques uns des meilleurs artistes du graffiti au Quebec!Pour une journee seulement, ces artistes anonymes qui colorent avec brio le beton de nos villes ont accepte de montrer leur visage et de devoiler leurs techniques pour partager leur passion avec le public et demystifier le phenomene du graffiti. Une activite presentee pas le Carrefour jeunesse-emploi de la Capitale Nationale.|2|418-524-2345||coordochantier@cjecn.qc.ca|http://www.cjecn.qc.ca|Place de l'Universite-du-Quebec||Coin rue de la Couronne et boulevard Charest Est||La Cite-Limoilou
Activite petit budget|Attention: peinture fraiche!|2015-08-05|2015-08-05|De 12 h a 17 h|0|Veritable celebration des arts de la rue, Attention : peinture fraiche! est la seule et unique occasion de rencontrer quelques uns des meilleurs artistes du graffiti au Quebec!Pour une journee seulement, ces artistes anonymes qui colorent avec brio le beton de nos villes ont accepte de montrer leur visage et de devoiler leurs techniques pour partager leur passion avec le public et demystifier le phenomene du graffiti. Une activite presentee pas le Carrefour jeunesse-emploi de la Capitale Nationale.|2|418-524-2345||coordochantier@cjecn.qc.ca|http://www.cjecn.qc.ca|Place de l'Universite-du-Quebec||Coin rue de la Couronne et boulevard Charest Est||La Cite-Limoilou
Activites estivales|Attention: peinture fraiche!|2015-08-05|2015-08-05|De 12 h a 17 h|0|Veritable celebration des arts de la rue, Attention : peinture fraiche! est la seule et unique occasion de rencontrer quelques uns des meilleurs artistes du graffiti au Quebec!Pour une journee seulement, ces artistes anonymes qui colorent avec brio le beton de nos villes ont accepte de montrer leur visage et de devoiler leurs techniques pour partager leur passion avec le public et demystifier le phenomene du graffiti. Une activite presentee pas le Carrefour jeunesse-emploi de la Capitale Nationale.|2|418-524-2345||coordochantier@cjecn.qc.ca|http://www.cjecn.qc.ca|Place de l'Universite-du-Quebec||Coin rue de la Couronne et boulevard Charest Est||La Cite-Limoilou
Arts de la rue|Attention: peinture fraiche!|2015-08-05|2015-08-05|De 12 h a 17 h|0|Veritable celebration des arts de la rue, Attention : peinture fraiche! est la seule et unique occasion de rencontrer quelques uns des meilleurs artistes du graffiti au Quebec!Pour une journee seulement, ces artistes anonymes qui colorent avec brio le beton de nos villes ont accepte de montrer leur visage et de devoiler leurs techniques pour partager leur passion avec le public et demystifier le phenomene du graffiti. Une activite presentee pas le Carrefour jeunesse-emploi de la Capitale Nationale.|2|418-524-2345||coordochantier@cjecn.qc.ca|http://www.cjecn.qc.ca|Place de l'Universite-du-Quebec||Coin rue de la Couronne et boulevard Charest Est||La Cite-Limoilou
Activite petit budget|Les Week-ends chauds du Trait-Carre -Martine St-Clair|2015-07-16|2015-07-16|20 h|0|Artiste fetiche du parolier de Starmania, Martine St-Clair presente son spectacle  « Les femmes de Plamondon ».|3|418-622-3127-102|||http://www.weekendstraitcarre.com|Parc de la Commune||Coin 1re Avenue et boulevard Louis-XIV|418-641-6044|Charlesbourg
Activite petit budget|Les Week-ends chauds du Trait-Carre « Ima »|2015-07-31|2015-07-31|20 h|0|Ima presente LOVE MOI, un premier disque de chansons dont elle signe paroles et musique.|3|418-622-3127-102|||http://www.weekendstraitcarre.com|Parc de la Commune||Coin 1re Avenue et boulevard Louis-XIV|418-641-6044|Charlesbourg
Activite petit budget|Les Week-ends chauds du Trait-Carre « Luc de la Rocheliere »|2015-08-14|2015-08-14|20 h|0|Apres avoir recu un Felix pour sa composition « En bref », Luc de la Rocheliere presente un spectacle revisitant ses 25 ans de carriere.|-1|418-622-3127-102|||http://www.weekendstraitcarre.com|Parc de la Commune||Coin 1re Avenue et boulevard Louis-XIV|418-641-6044|Charlesbourg
Activite familiale|Fete de Quebec|2015-07-03|2015-07-03|17 h 30 a 21 h|0|Venez celebrer la fete de Quebec au parc de la Commune, intersection 1re Avenue et Louis-XIV. 17 h 30  jeux d'adresses, animation familiale, musique du monde et restauration ($)18 h 45  sante a la Ville de Quebec et service du gateau d'anniversaire (gratuit)20 h      spectacle  de Jonathan Painchaud, ancien leader du groupe Okoume,qui nous offrira des extraits de son dernier album « Mon cœur colle au tien ».|4|418-641-6044|||http://www.trait-carre.org|Parc de la Commune||Coin 1re Avenue et boulevard Louis-XIV|418-641-6044|Charlesbourg
Activites estivales|Fete de Quebec|2015-07-03|2015-07-03|17 h 30 a 21 h|0|Venez celebrer la fete de Quebec au parc de la Commune, intersection 1re Avenue et Louis-XIV. 17 h 30  jeux d'adresses, animation familiale, musique du monde et restauration ($)18 h 45  sante a la Ville de Quebec et service du gateau d'anniversaire (gratuit)20 h      spectacle  de Jonathan Painchaud, ancien leader du groupe Okoume,qui nous offrira des extraits de son dernier album « Mon cœur colle au tien ».|4|418-641-6044|||http://www.trait-carre.org|Parc de la Commune||Coin 1re Avenue et boulevard Louis-XIV|418-641-6044|Charlesbourg
Activite familiale|Cinema en plein air « En route! »|2015-08-12|2015-08-12|A la brunante, vers 20 h 15|0|Lorsque la Terre est envahie par des extraterrestres qui sont a la recherche d'un nouvel endroit ou vivre, les humains sont rapidement relocalises tandis que les Boovs s'affairent a reorganiser la planete. |5|418-641-6044||||Parc de la Commune||Coin 1re Avenue et boulevard Louis-XIV|418-641-6044|Charlesbourg
Activite petit budget|Cinema en plein air « En route! »|2015-08-12|2015-08-12|A la brunante, vers 20 h 15|0|Lorsque la Terre est envahie par des extraterrestres qui sont a la recherche d'un nouvel endroit ou vivre, les humains sont rapidement relocalises tandis que les Boovs s'affairent a reorganiser la planete. |5|418-641-6044||||Parc de la Commune||Coin 1re Avenue et boulevard Louis-XIV|418-641-6044|Charlesbourg
Activites estivales|Cinema en plein air « En route! »|2015-08-12|2015-08-12|A la brunante, vers 20 h 15|0|Lorsque la Terre est envahie par des extraterrestres qui sont a la recherche d'un nouvel endroit ou vivre, les humains sont rapidement relocalises tandis que les Boovs s'affairent a reorganiser la planete. |5|418-641-6044||||Parc de la Commune||Coin 1re Avenue et boulevard Louis-XIV|418-641-6044|Charlesbourg
Cinema|Cinema en plein air « En route! »|2015-08-12|2015-08-12|A la brunante, vers 20 h 15|0|Lorsque la Terre est envahie par des extraterrestres qui sont a la recherche d'un nouvel endroit ou vivre, les humains sont rapidement relocalises tandis que les Boovs s'affairent a reorganiser la planete. |5|418-641-6044||||Parc de la Commune||Coin 1re Avenue et boulevard Louis-XIV|418-641-6044|Charlesbourg
Activite petit budget|Les Week-ends chauds du Trait-Carre « Les gitans de Sarajevo »|2015-07-23|2015-07-23|20 h|0|Voix, violon, cuivre et accordeon livrent une musique enlevante de l'Europe de l'est.|4|418-622-3127-102|||http://www.weekendstraitcarre.com|Parc de la Commune||Coin 1re Avenue et boulevard Louis-XIV|418-641-6044|Charlesbourg
Activite familiale|Fete de la rentree|2015-09-06|2015-09-06|9 h a 15 h|0|Journee pour la famille, jeux gonflables, mini-ferme, marche aux puces, animation et musique.|5|418-623-1847|||http://www.pscb.ca|Parc de la Commune||Coin 1re Avenue et boulevard Louis-XIV|418-641-6044|Charlesbourg
Activite petit budget|Fete de la rentree|2015-09-06|2015-09-06|9 h a 15 h|0|Journee pour la famille, jeux gonflables, mini-ferme, marche aux puces, animation et musique.|5|418-623-1847|||http://www.pscb.ca|Parc de la Commune||Coin 1re Avenue et boulevard Louis-XIV|418-641-6044|Charlesbourg
Activite petit budget|Les Week-ends chauds du Trait-Carre « Marie Marron »|2015-07-17|2015-07-17|20 h|0|Quartette voue a la chanson francophone qu'il revisite a la saveur jazz.|4|418-622-3127-102|||http://www.weekendstraitcarre.com|Parc de la Commune||Coin 1re Avenue et boulevard Louis-XIV|418-641-6044|Charlesbourg
Activite petit budget|Les Week-ends chauds du Trait-Carre « Les evades »|2015-07-24|2015-07-24|20 h|0|Violon, violoncelle, contrebasse et guitare sur un rythme de tango. Une evasion argentine!|4|418-622-3127-102|||http://www.weekendstraitcarre.com|Parc de la Commune||Coin 1re Avenue et boulevard Louis-XIV|418-641-6044|Charlesbourg
Activite petit budget|Les Week-ends chauds du Trait-Carre « Dave et chums »|2015-07-30|2015-07-30|20 h|0|L'auteur-compositeur et interprete Dave Hazen, s'amuse a jouer avec les mots autant qu'avec les melodies.|4|418-622-3127-102|||http://www.weekendstraitcarre.com|Parc de la Commune||Coin 1re Avenue et boulevard Louis-XIV|418-641-6044|Charlesbourg
Activite petit budget|Les Week-ends chauds du Trait-Carre « Le quintette valse chic et la soprano Vanessa Ferland »|2015-08-06|2015-08-06|20 h|0|Un rendez-vous pour les amateurs de musique gracieuse et enchanteresse.|4|418-622-3127-102|||http://www.weekendstraitcarre.com|Parc de la Commune||Coin 1re Avenue et boulevard Louis-XIV|418-641-6044|Charlesbourg
Activite petit budget|Les Week-ends chaud du Trait-Carre « Le hot club de ma rue »|2015-08-07|2015-08-07|20 h|0|Deux guitares, une contrebasse et un accordeon dans des envolees qui rendent hommage au jazz du legendaire Django Reinhardt.|4|418-622-3127-102|||http://www.weekendstraitcarre.com|Parc de la Commune||Coin 1re Avenue et boulevard Louis-XIV|418-641-6044|Charlesbourg
Activite petit budget|Les Week-ends chauds du Trait-Carre « Odeur de swing »|2015-08-13|2015-08-13|20 h|0|Un quintette qui sait faire virevolter son public a partir du repertoire du debut du 20e siecle...Sidney Bechet, Louis Armstrong et autres immortels des annees folles.|4|418-622-3127-102|||http://www.weekendstraitcarre.com|Parc de la Commune||Coin 1re Avenue et boulevard Louis-XIV|418-641-6044|Charlesbourg
Activite familiale|Atelier de fabrication de papier a l'ancienne|2015-06-07|2015-06-14|Dimanches 7 et 14 juin, 14 h |2|Vivez une experience unique en fabriquant votre propre papier a l'ancienne. Decorez-le et offrez-le a quelqu'un que vous aimez!|3|418-624-7720|||http://www.moulindesjesuites.org|Moulin des Jesuites||7960, boulevard Henri-Bourassa|418-624-7720|Charlesbourg
